Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Stealthsuit",2,Completed,"Introduction","Item Encrypted message","1","23:20:57","23:22:06",
Bot1,"Stealthsuit",2,Completed,"Introduction","Zone huntsman_001","1","23:22:11","23:22:19",
Bot1,"Stealthsuit",2,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","23:22:24","23:24:16",
Bot1,"Stealthsuit",2,Completed,"Scav Town","Scav Town: Objective #2","1","23:24:21","23:25:43",
Bot1,"Stealthsuit",2,Completed,"Scav Town","Scav Town: Objective #1","3","23:25:48","23:26:20",
Bot1,"Stealthsuit",2,Completed,"Scav Town","Scav Town: Objective #5","3","23:26:25","23:27:09",
Bot1,"Stealthsuit",2,Completed,"Scav Town","Scav Town: Objective #3","2","23:27:14","23:27:39",
Bot1,"Stealthsuit",2,Completed,"Scav Town","Scav Town: Objective #4","2","23:27:44","23:28:14",
Bot1,"Stealthsuit",2,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","23:28:19","23:29:42",
Bot1,"Stealthsuit",2,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","23:29:47","23:29:59",
Bot1,"Stealthsuit",2,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","23:30:04","23:30:20",
Bot1,"Stealthsuit",2,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","23:30:25","23:32:47",
Bot1,"Stealthsuit",2,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","23:32:52","N/A",
Bot2,"crustyselenium_",52,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:20:58","23:21:43",
Bot2,"crustyselenium_",52,Archived,"Scav Base","Scav Base: Objective #3","1","23:21:49","23:25:10",
Bot2,"crustyselenium_",52,Archived,"Scav Base","Scav Base: Objective #2","4","23:25:15","23:26:28",
Bot2,"crustyselenium_",52,Archived,"Scav Base","Scav Base: Objective #4","2","23:26:33","23:27:11",
Bot2,"crustyselenium_",52,Archived,"Scav Base","Scav Base: Objective #1","5","23:27:16","23:28:48",
Bot2,"crustyselenium_",52,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","23:28:53","23:31:03",
Bot2,"crustyselenium_",52,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","23:31:08","23:32:42",
Bot2,"crustyselenium_",52,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","23:32:47","23:36:12",
Bot2,"crustyselenium_",52,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:36:17","N/A",
Bot9,"weewoo",21,Completed,"Supply Plans","Item Secure Folder 0052","1","23:22:01","23:24:30",
Bot9,"weewoo",21,Failed,"Gratitude","Zone place_THX_15","1","23:24:35","23:27:10",
Bot10,"laser50",27,Failed,"Chumming","Zone place_skier_12_3","1","23:22:02","23:27:25",
Bot11,"Life",15,Failed,"Boss Hunter","Spawn Point (-108.5 10.1 -609.9)","1","23:22:03","23:26:51",
Bot12,"Swankyorc",53,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","23:22:24","23:33:10",
Bot13,"McDewgle",28,Pending,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","23:22:25","N/A",
Bot15,"NikitaWaifu",62,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","23:22:25","23:22:32",
Bot15,"NikitaWaifu",62,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","23:22:37","23:28:31",
Bot15,"NikitaWaifu",62,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:28:36","23:32:36",
Bot15,"NikitaWaifu",62,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","23:32:41","23:33:55",
Bot15,"NikitaWaifu",62,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:34:00","23:40:19",
Bot15,"NikitaWaifu",62,Completed,"Scav Bunker","Scav Bunker: Objective #2","2","23:40:24","23:41:06",
Bot15,"NikitaWaifu",62,Completed,"Scav Bunker","Scav Bunker: Objective #3","2","23:41:11","23:41:50",
Bot15,"NikitaWaifu",62,Completed,"Scav Bunker","Scav Bunker: Objective #1","2","23:41:55","23:42:32",
Bot15,"NikitaWaifu",62,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","23:42:37","23:44:10",
Bot15,"NikitaWaifu",62,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","23:44:15","23:44:20",
Bot15,"NikitaWaifu",62,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","23:44:25","23:44:36",
Bot15,"NikitaWaifu",62,Failed,"USEC Camp South","USEC Camp South: Objective #1","1","23:44:41","23:44:41",
Bot15,"NikitaWaifu",62,Failed,"USEC Camp South","USEC Camp South: Objective #2","1","23:44:46","23:44:46",
Bot15,"NikitaWaifu",62,Failed,"USEC Camp South","USEC Camp South: Objective #3","1","23:44:51","23:44:51",
Bot15,"NikitaWaifu",62,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","23:44:56","23:44:56",
Bot15,"NikitaWaifu",62,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","23:45:01","23:45:01",
Bot15,"NikitaWaifu",62,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","23:45:07","23:45:07",
Bot15,"NikitaWaifu",62,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #1","1","23:45:12","23:45:13",
Bot15,"NikitaWaifu",62,Pending,"Convoy","Convoy: Objective #1","1","23:45:18","N/A",
Bot14,"JustAShepard",17,Pending,"Scav Base","Scav Base: Objective #1","1","23:22:26","N/A",
