Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Jester_Stacks",27,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","02:21:32","02:21:51",
Bot2,"Jester_Stacks",27,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","02:21:56","02:22:47",
Bot2,"Jester_Stacks",27,Failed,"USEC Camp South","USEC Camp South: Objective #3","2","02:22:52","02:24:37",
Bot4,"TGDelta2455",41,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","02:21:37","02:24:22",
Bot4,"TGDelta2455",41,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","02:24:28","02:26:08",
Bot4,"TGDelta2455",41,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","02:26:13","02:30:05",
Bot4,"TGDelta2455",41,Completed,"Lend-Lease - Part 1","Item Motor Controller #1","1","02:30:10","02:30:44",
Bot4,"TGDelta2455",41,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","02:30:49","02:31:38",
Bot4,"TGDelta2455",41,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","02:31:43","02:32:34",
Bot4,"TGDelta2455",41,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","02:32:40","02:36:37",
Bot4,"TGDelta2455",41,Completed,"Return the Favor","Zone place_keeper5_2","2","02:36:42","02:40:18",
Bot4,"TGDelta2455",41,Completed,"Return the Favor","Zone place_keeper5_1","2","02:40:23","02:41:38",
Bot4,"TGDelta2455",41,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","02:41:43","02:42:23",
Bot4,"TGDelta2455",41,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","02:42:28","02:42:44",
Bot4,"TGDelta2455",41,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","02:42:49","02:43:26",
Bot4,"TGDelta2455",41,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","02:43:32","02:44:06",
Bot4,"TGDelta2455",41,Failed,"USEC Camp North","USEC Camp North: Objective #3","1","02:44:11","02:44:16",
Bot6,"KittehKun",31,Completed,"Steady Signal","Zone q14_8_1","1","02:21:38","02:50:10",
Bot6,"KittehKun",31,Completed,"Steady Signal","Zone q14_8_3","1","02:50:15","02:53:38",
Bot6,"KittehKun",31,Active,"Steady Signal","Zone q14_8_2","1","02:53:44","N/A",
Bot5,"Lacyway",13,Completed,"Search Mission","Zone pr_scout_col","1","02:21:38","02:22:24",
Bot5,"Lacyway",13,Completed,"Search Mission","Zone pr_scout_base","1","02:22:29","02:24:22",
Bot5,"Lacyway",13,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","02:24:27","02:26:24",
Bot5,"Lacyway",13,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","02:26:29","02:26:51",
Bot5,"Lacyway",13,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","02:26:56","02:28:00",
Bot5,"Lacyway",13,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","02:28:05","02:28:42",
Bot5,"Lacyway",13,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","02:28:47","02:28:58",
Bot5,"Lacyway",13,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","02:29:03","02:29:26",
Bot5,"Lacyway",13,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","02:29:31","02:29:41",
Bot5,"Lacyway",13,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","02:29:46","02:29:46",
Bot5,"Lacyway",13,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","02:29:51","02:29:51",
Bot5,"Lacyway",13,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","02:29:56","02:49:15",
Bot7,"agavalda",63,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #2","1","02:21:40","02:25:36",
