Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot39,"epidemicz",4,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","00:03:23","00:03:39",
Bot39,"epidemicz",4,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","00:03:44","00:04:29",
Bot39,"epidemicz",4,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","00:04:35","00:05:38",
Bot39,"epidemicz",4,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","00:05:44","00:06:33",
Bot39,"epidemicz",4,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","00:06:38","00:06:52",
Bot39,"epidemicz",4,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","00:06:57","00:07:19",
Bot39,"epidemicz",4,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","00:07:24","00:08:02",
Bot39,"epidemicz",4,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","00:08:07","00:12:28",
Bot39,"epidemicz",4,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","00:12:33","00:17:05",
Bot38,"mighty_condor",30,Completed,"Chumming","Zone place_skier_12_3","2","00:03:24","00:09:32",
Bot38,"mighty_condor",30,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","00:09:37","00:10:10",
Bot38,"mighty_condor",30,Completed,"Lend-Lease - Part 1","Item Motor Controller #1","1","00:10:16","00:11:30",
Bot38,"mighty_condor",30,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","00:11:35","00:12:12",
Bot38,"mighty_condor",30,Pending,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","00:12:18","N/A",
Bot44,"Fiaf",3,Completed,"Scav Base","Scav Base: Objective #2","4","00:03:34","00:06:06",
Bot44,"Fiaf",3,Completed,"Scav Base","Scav Base: Objective #3","1","00:06:11","00:06:24",
Bot44,"Fiaf",3,Completed,"Scav Base","Scav Base: Objective #4","2","00:06:29","00:07:04",
Bot44,"Fiaf",3,Completed,"Scav Base","Scav Base: Objective #1","5","00:07:10","00:08:21",
Bot44,"Fiaf",3,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","00:08:26","00:11:06",
Bot44,"Fiaf",3,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","00:11:11","00:17:11",
Bot46,"Arokar",38,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","00:03:38","00:03:45",
Bot46,"Arokar",38,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","00:03:50","00:08:25",
Bot46,"Arokar",38,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","00:08:30","00:09:33",
Bot47,"WillDaPope",48,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","00:03:39","00:03:47",
Bot47,"WillDaPope",48,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","00:03:52","00:09:44",
Bot45,"Pycak",29,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","00:03:39","00:15:56",
Bot50,"TheRedCap",55,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","00:04:31","00:05:06",
Bot71,"Ричи Ихтиандр (MissingInAction)",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","00:18:57","00:20:10",
Bot71,"Ричи Ихтиандр (MissingInAction)",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","00:20:15","00:20:31",
Bot71,"Ричи Ихтиандр (MissingInAction)",1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","00:20:36","00:21:00",
Bot71,"Ричи Ихтиандр (MissingInAction)",1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","00:21:05","00:22:50",
