Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Skwizzy",12,Completed,"Search Mission","Zone pr_scout_col","1","00:34:42","00:36:46",
Bot1,"Skwizzy",12,Completed,"Search Mission","Zone pr_scout_base","1","00:36:51","00:38:14",
Bot1,"Skwizzy",12,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","00:38:19","00:38:50",
Bot1,"Skwizzy",12,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","00:38:55","00:39:48",
Bot1,"Skwizzy",12,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","00:39:53","00:43:56",
Bot1,"Skwizzy",12,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","00:44:01","00:44:51",
Bot1,"Skwizzy",12,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","00:44:56","00:45:06",
Bot1,"Skwizzy",12,Failed,"USEC Camp North","USEC Camp North: Objective #1","2","00:45:11","00:45:29",
Bot2,"Revingly",44,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","00:34:42","00:35:14",
Bot2,"Revingly",44,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","00:35:19","00:37:51",
Bot2,"Revingly",44,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","00:37:56","00:41:35",
Bot2,"Revingly",44,Completed,"Lend-Lease - Part 1","Item Motor Controller #1","1","00:41:40","00:42:14",
Bot2,"Revingly",44,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","00:42:19","00:48:20",
Bot3,"ANIME",10,Completed,"Scav Base","Scav Base: Objective #1","5","00:34:43","00:36:29",
Bot3,"ANIME",10,Completed,"Scav Base","Scav Base: Objective #4","2","00:36:34","00:37:07",
Bot3,"ANIME",10,Completed,"Scav Base","Scav Base: Objective #3","1","00:37:12","00:37:24",
Bot3,"ANIME",10,Completed,"Scav Base","Scav Base: Objective #2","4","00:37:29","00:38:10",
Bot3,"ANIME",10,Completed,"Introduction","Zone huntsman_001","1","00:38:15","00:39:20",
Bot3,"ANIME",10,Completed,"Introduction","Item Encrypted message","1","00:39:25","00:39:34",
Bot3,"ANIME",10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","00:39:40","00:40:55",
Bot3,"ANIME",10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","00:41:00","00:44:58",
Bot4,"TinglePlayerParkov",4,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","00:34:44","00:35:31",
Bot4,"TinglePlayerParkov",4,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","00:35:36","00:35:47",
Bot4,"TinglePlayerParkov",4,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","00:35:52","00:36:22",
Bot4,"TinglePlayerParkov",4,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","00:36:27","00:37:00",
Bot4,"TinglePlayerParkov",4,Completed,"Convoy","Convoy: Objective #1","1","00:37:06","00:37:48",
Bot4,"TinglePlayerParkov",4,Completed,"Convoy","Convoy: Objective #2","1","00:37:53","00:38:05",
Bot4,"TinglePlayerParkov",4,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","00:38:10","00:41:21",
Bot4,"TinglePlayerParkov",4,Failed,"USEC Camp South","USEC Camp South: Objective #2","1","00:41:26","00:41:44",
Bot15,"gansik",27,Completed,"Informed Means Armed","Zone place_skier_11_1","2","00:36:32","00:39:33",
Bot15,"gansik",27,Completed,"Gratitude","Zone place_THX_15","2","00:39:38","00:40:20",
