Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot211,"Massivesoft",6,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:40:24","02:40:25",
Bot211,"Massivesoft",6,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","02:40:30","02:44:45",
Bot211,"Massivesoft",6,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","02:43:31","02:44:45",
Bot229,"Drill",6,Active,"Saving the Mole","Item TerraGroup scientist's hard drive","1","02:51:22","N/A",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","02:53:23","02:53:30",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","02:53:35","02:53:47",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","02:53:52","02:53:58",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","02:54:03","02:54:26",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","02:54:31","02:55:29",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Completed,"Underground North","Underground North: Objective #5","1","02:55:34","02:56:20",
Bot230,"Юра Ессентуки (AcidPhantasm)",1,Pending,"Underground North","Underground North: Objective #4","2","02:56:25","N/A",
