Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot189,"Nootropix",6,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","02:03:14","02:03:19",
Bot189,"Nootropix",6,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","02:03:24","02:03:39",
Bot189,"Nootropix",6,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","02:03:44","02:04:01",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","02:04:06","02:04:10",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","02:04:15","02:04:53",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","02:04:58","02:05:05",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","02:05:10","02:05:17",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","02:05:22","02:05:37",
Bot189,"Nootropix",6,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","02:05:42","02:05:45",
Bot189,"Nootropix",6,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","02:05:50","02:05:54",
Bot190,"Jiro",3,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:03:17","02:03:18",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #3","1","02:03:23","02:04:00",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #4","2","02:04:05","02:04:32",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #5","1","02:04:37","02:04:55",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #6","1","02:05:00","02:05:11",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #8","1","02:05:16","02:05:38",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #7","2","02:05:43","02:06:09",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #1","1","02:06:14","02:06:31",
Bot190,"Jiro",3,Completed,"Underground North","Underground North: Objective #2","1","02:06:37","02:06:44",
Bot190,"Jiro",3,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","02:06:49","02:07:29",
Bot190,"Jiro",3,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","02:07:34","N/A",
Bot195,"CouponBugDotCom",14,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:08:39","02:12:34",
Bot195,"CouponBugDotCom",14,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","02:09:39","02:12:34",
Bot196,"crustyselenium_",67,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","02:10:03","02:10:42",
Bot196,"crustyselenium_",67,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","02:10:47","02:10:55",
Bot196,"crustyselenium_",67,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","02:11:00","02:11:40",
Bot196,"crustyselenium_",67,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","02:11:45","02:12:12",
Bot196,"crustyselenium_",67,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","02:12:17","02:12:46",
Bot196,"crustyselenium_",67,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","02:12:51","02:13:38",
Bot196,"crustyselenium_",67,Completed,"Underground Utility Room","Underground Utility Room: Objective #1","4","02:13:43","02:14:47",
Bot196,"crustyselenium_",67,Completed,"Underground North","Underground North: Objective #8","1","02:14:52","02:14:52",
Bot196,"crustyselenium_",67,Completed,"Underground North","Underground North: Objective #6","1","02:14:57","02:15:00",
Bot196,"crustyselenium_",67,Failed,"Underground North","Underground North: Objective #7","2","02:15:05","02:15:36",
Bot200,"Bobitec",67,Failed,"Underground North","Underground North: Objective #5","1","02:13:27","02:20:39",
Bot199,"Alex",25,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:13:29","02:14:41",
Bot199,"Alex",25,Failed,"Underground North","Underground North: Objective #3","1","02:14:46","02:19:22",
Bot202,"Ромчик Вафел (Hicchy)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","02:17:45","02:17:49",
Bot202,"Ромчик Вафел (Hicchy)",1,Failed,"TerraGroup Office","TerraGroup Office: Objective #3","1","02:17:54","02:18:47",
