Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"ViolentAmbush",19,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:40:03","22:41:30",
Bot30,"白闲者",43,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:40:03","22:40:56",
Bot32,"K4_a",43,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:40:04","22:41:55",
Bot33,"lukewarmpudding",3,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:40:05","22:41:13",
Bot34,"T90Commander",51,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:40:06","22:41:04",
