Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Capataina",8,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","22:34:22","22:36:11",
Bot1,"Capataina",8,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","22:36:16","22:36:54",
Bot1,"Capataina",8,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","22:36:59","22:37:37",
Bot1,"Capataina",8,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","22:37:42","22:38:13",
Bot1,"Capataina",8,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","22:38:18","22:38:43",
Bot1,"Capataina",8,Archived,"Railway Area","Railway Area: Objective #4","1","22:38:48","22:39:16",
Bot1,"Capataina",8,Archived,"Railway Area","Railway Area: Objective #3","1","22:39:21","22:39:26",
Bot1,"Capataina",8,Archived,"Railway Area","Railway Area: Objective #2","1","22:39:31","22:39:43",
Bot1,"Capataina",8,Archived,"Railway Area","Railway Area: Objective #1","1","22:39:48","22:40:01",
Bot1,"Capataina",8,Archived,"North Construction Site","North Construction Site: Objective #3","1","22:40:06","22:41:39",
Bot1,"Capataina",8,Archived,"North Construction Site","North Construction Site: Objective #1","1","22:41:44","22:41:48",
Bot1,"Capataina",8,Archived,"North Construction Site","North Construction Site: Objective #2","1","22:41:53","22:42:24",
Bot1,"Capataina",8,Completed,"IDEA Office","IDEA Office: Objective #1","2","22:42:29","22:43:49",
Bot1,"Capataina",8,Completed,"IDEA Office","IDEA Office: Objective #3","1","22:43:54","22:44:19",
Bot1,"Capataina",8,Completed,"IDEA Office","IDEA Office: Objective #2","3","22:44:24","22:45:01",
Bot1,"Capataina",8,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","22:45:06","22:45:10",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #1","1","22:45:15","22:45:31",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #3","1","22:45:36","22:45:54",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #2","1","22:45:59","22:46:10",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #4","1","22:46:15","22:46:38",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #5","1","22:46:43","22:46:57",
Bot1,"Capataina",8,Completed,"IDEA Showroom","IDEA Showroom: Objective #6","1","22:47:03","22:47:19",
Bot1,"Capataina",8,Completed,"TTS","TTS: Objective #1","1","22:47:24","22:48:00",
Bot1,"Capataina",8,Completed,"TTS","TTS: Objective #3","1","22:48:05","22:48:17",
Bot1,"Capataina",8,Completed,"TTS","TTS: Objective #2","1","22:48:22","22:48:29",
Bot1,"Capataina",8,Completed,"TTS","TTS: Objective #4","1","22:48:34","22:48:47",
Bot1,"Capataina",8,Failed,"Generic","Generic: Objective #1","1","22:48:52","22:59:51",
Bot2,"ObiOne",43,Pending,"Vitamins - Part 1","Item Chemical container #2","1","22:34:22","N/A",
Bot2,"ObiOne",43,Completed,"Vitamins - Part 1","Item Chemical container #3","1","22:57:54","22:58:12",
Bot2,"ObiOne",43,Active,"KIBA","KIBA: Objective #1","1","22:58:17","N/A",
Bot4,"crustyselenium_",9,Completed,"OLI Back Storage","OLI Back Storage: Objective #1","1","22:34:24","22:39:21",
Bot4,"crustyselenium_",9,Completed,"OLI Back Storage","OLI Back Storage: Objective #2","1","22:39:26","22:39:35",
Bot4,"crustyselenium_",9,Completed,"OLI Loading Area","OLI Loading Area: Objective #5","1","22:39:40","22:39:50",
Bot4,"crustyselenium_",9,Completed,"OLI Loading Area","OLI Loading Area: Objective #3","1","22:39:56","22:40:09",
Bot4,"crustyselenium_",9,Completed,"OLI Loading Area","OLI Loading Area: Objective #4","1","22:40:14","22:40:28",
Bot4,"crustyselenium_",9,Completed,"OLI Loading Area","OLI Loading Area: Objective #2","1","22:40:33","22:41:43",
Bot4,"crustyselenium_",9,Completed,"OLI Loading Area","OLI Loading Area: Objective #1","1","22:41:48","22:43:10",
Bot4,"crustyselenium_",9,Failed,"Emercom Camping Loading Dock","Emercom Camping Loading Dock: Objective #1","2","22:43:16","22:53:28",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-70.5 27.1 -286.8)","1","22:34:24","22:34:43",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (7.0 27.1 -238.9)","1","22:34:48","22:35:21",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-35.6 27.3 -194.6)","1","22:35:26","22:36:26",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-70.5 27.1 -261.7)","1","22:36:31","22:37:24",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-51.9 27.1 -204.1)","1","22:37:29","22:37:57",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-65.8 27.3 -275.6)","1","22:38:02","22:38:23",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-55.0 27.1 -200.5)","1","22:38:28","22:38:52",
Bot3,"DeadLeaves",59,Completed,"Boss Hunter","Spawn Point (-69.6 27.2 -99.7)","1","22:38:57","22:40:04",
Bot3,"DeadLeaves",59,Failed,"Provocation","Zone quest_zone_keeper6_kiba_kill","2","22:40:09","22:48:50",
Bot3,"DeadLeaves",59,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","22:43:57","22:43:57",
Bot3,"DeadLeaves",59,Failed,"Provocation","Zone quest_zone_keeper6_kiba_hide","1","22:43:58","22:43:58",
Bot3,"DeadLeaves",59,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","22:43:59","22:43:59",
Bot3,"DeadLeaves",59,Failed,"Hot Delivery","Zone place_merch_020_1","1","22:44:01","22:44:01",
Bot3,"DeadLeaves",59,Failed,"Hot Delivery","Zone place_merch_020_2","1","22:44:02","22:44:55",
Bot3,"DeadLeaves",59,Failed,"KIBA Investigate","KIBA Investigate: Objective #1","1","22:44:56","22:44:56",
Bot3,"DeadLeaves",59,Failed,"OLI Showroom East","OLI Showroom East: Objective #1","1","22:44:57","22:44:57",
Bot15,"DjLang",40,Failed,"KIBA","KIBA: Objective #1","1","22:35:04","22:50:43",
Bot18,"OutsiderH",7,Failed,"Railway Area","Railway Area: Objective #2","1","22:35:13","22:49:39",
Bot19,"vampuico",40,Failed,"Railway Area","Railway Area: Objective #2","1","22:35:21","22:51:25",
Bot21,"AshleyShcaefferBMW",37,Failed,"Minibus","Zone place_merch_21_2","1","22:35:29","22:49:08",
Bot23,"igorir3",10,Failed,"Railway Area","Railway Area: Objective #2","1","22:35:29","22:49:41",
Bot47,"Тарас Козий-сыр (Paulov)",1,Pending,"IDEA Office","IDEA Office: Objective #3","1","23:12:06","N/A",
Bot46,"Гога Боров (Arokar)",1,Active,"IDEA Office","IDEA Office: Objective #3","1","23:12:06","N/A",
