Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Basuro",35,Completed,"Inventory Check","Zone baraholshik_arsenal_area_3","1","22:45:47","22:50:26",
Bot7,"Basuro",35,Completed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","22:50:31","22:50:32",
Bot7,"Basuro",35,Completed,"Inventory Check","Zone baraholshik_arsenal_area_1","1","22:50:37","22:51:00",
Bot7,"Basuro",35,Completed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","22:51:05","22:52:00",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #5","1","22:52:05","22:52:35",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #2","1","22:52:40","22:52:48",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #7","1","22:52:53","22:54:11",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #10","1","22:54:16","22:55:47",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #3","1","22:55:52","22:56:05",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #8","1","22:56:10","22:56:10",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #9","1","22:56:15","22:57:24",
Bot7,"Basuro",35,Completed,"Black Pawn","Black Pawn: Objective #4","1","22:57:29","22:58:09",
Bot7,"Basuro",35,Completed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","22:58:14","22:58:47",
Bot7,"Basuro",35,Completed,"Pest Control","Zone eger_barracks_area_1","1","22:58:52","22:59:22",
Bot7,"Basuro",35,Completed,"Pest Control","Zone eger_barracks_area_2","1","22:59:27","23:01:11",
Bot7,"Basuro",35,Failed,"Documents","Item Military documents #3","1","23:01:16","23:01:34",
Bot8,"alexkarpen",60,Failed,"Scav Lands North Building","Scav Lands North Building: Objective #1","1","22:45:47","22:48:54",
Bot11,"MadDutch",11,Failed,"Black Pawn","Black Pawn: Objective #9","1","22:46:19","23:04:10",
Bot13,"XkaOnslaught",4,Failed,"Black Knight","Black Knight: Objective #8","1","22:46:19","23:05:39",
Bot14,"ItsRenke",69,Failed,"Black Bishop","Black Bishop: Objective #5","1","22:46:20","22:49:38",
Bot12,"RedBeard",39,Failed,"Boss Hunter","Spawn Point (-252.8 -5.4 -0.7)","1","22:46:23","23:06:30",
Bot23,"zicoman",10,Failed,"White Knight","White Knight: Objective #3","1","22:50:34","23:09:53",
Bot24,"Kilgor616",55,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","22:52:17","22:52:17",
Bot24,"Kilgor616",55,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","22:52:22","22:53:00",
Bot24,"Kilgor616",55,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #3","1","22:53:05","22:53:18",
Bot24,"Kilgor616",55,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #6","1","22:53:23","23:02:50",
Bot24,"Kilgor616",55,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #1","1","22:55:25","23:02:50",
Bot24,"Kilgor616",55,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #5","1","22:56:18","22:56:33",
Bot24,"Kilgor616",55,Completed,"Command Center","Command Center: Objective #5","2","22:56:38","22:57:41",
Bot24,"Kilgor616",55,Completed,"Command Center","Command Center: Objective #4","3","22:57:46","22:58:55",
Bot24,"Kilgor616",55,Completed,"Command Center","Command Center: Objective #3","3","22:59:00","23:00:48",
Bot24,"Kilgor616",55,Failed,"Command Center","Command Center: Objective #6","1","23:00:53","23:02:50",
Bot33,"LuckyCharmT",24,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","22:58:53","22:59:01",
Bot33,"LuckyCharmT",24,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","22:59:06","22:59:11",
Bot36,"Life",3,Completed,"Dome Buildings","Dome Buildings: Objective #2","3","22:59:32","23:02:43",
Bot36,"Life",3,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","23:02:48","23:03:33",
Bot36,"Life",3,Completed,"Dome Buildings","Dome Buildings: Objective #6","1","23:03:39","23:03:45",
Bot36,"Life",3,Completed,"Dome Buildings","Dome Buildings: Objective #5","1","23:03:50","23:03:58",
Bot36,"Life",3,Failed,"Dome Buildings","Dome Buildings: Objective #3","1","23:04:03","23:15:23",
Bot37,"JustNU",42,Completed,"Reserve","Zone huntsman_029","1","22:59:53","23:00:03",
Bot37,"JustNU",42,Completed,"Train Yard","Train Yard: Objective #4","1","23:00:08","23:01:07",
Bot37,"JustNU",42,Completed,"Train Yard","Train Yard: Objective #1","1","23:01:12","23:01:34",
Bot37,"JustNU",42,Active,"Train Yard","Train Yard: Objective #2","1","23:01:39","N/A",
Bot42,"Родион Чучело (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #1","1","23:03:10","23:04:39",
Bot42,"Родион Чучело (SlejmUr)",1,Failed,"Command Center","Command Center: Objective #5","2","23:04:44","23:10:44",
Bot42,"Родион Чучело (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #4","3","23:05:41","23:06:09",
Bot42,"Родион Чучело (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #3","3","23:06:14","23:06:57",
Bot42,"Родион Чучело (SlejmUr)",1,Failed,"Command Center","Command Center: Objective #6","2","23:07:02","23:10:44",
Bot42,"Родион Чучело (SlejmUr)",1,Failed,"Command Center","Command Center: Objective #7","1","23:07:59","23:10:44",
Bot42,"Родион Чучело (SlejmUr)",1,Completed,"Command Center","Command Center: Objective #8","3","23:08:24","23:10:16",
Bot42,"Родион Чучело (SlejmUr)",1,Failed,"Black Pawn","Black Pawn: Objective #3","1","23:10:21","23:10:44",
Bot44,"Belzedar",22,Failed,"Command Center","Command Center: Objective #9","1","23:04:20","23:04:34",
Bot45,"职业玩家",11,Failed,"Command Center","Command Center: Objective #9","1","23:04:23","23:04:38",
Bot47,"BlackDeathGER",66,Completed,"Trenches","Trenches: Objective #2","1","23:05:19","23:05:35",
Bot47,"BlackDeathGER",66,Completed,"Trenches","Trenches: Objective #1","1","23:05:40","23:06:13",
Bot47,"BlackDeathGER",66,Failed,"Black Knight","Black Knight: Objective #7","1","23:06:18","23:15:31",
Bot48,"Platinum",3,Completed,"Train Yard","Train Yard: Objective #6","1","23:05:20","23:05:29",
Bot48,"Platinum",3,Failed,"Train Yard","Train Yard: Objective #3","1","23:05:34","23:16:58",
Bot49,"Cannuccia",47,Completed,"Dome Buildings","Dome Buildings: Objective #2","3","23:06:54","23:10:40",
Bot49,"Cannuccia",47,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","23:10:45","23:13:58",
Bot49,"Cannuccia",47,Failed,"Dome Buildings","Dome Buildings: Objective #6","1","23:14:03","23:14:17",
Bot50,"lualeet",48,Completed,"D2 Area","D2 Area: Objective #1","1","23:06:57","23:07:01",
Bot50,"lualeet",48,Failed,"D2 Area","D2 Area: Objective #2","1","23:07:06","23:15:14",
Bot53,"Аркадий Субстанс (K4_a)",1,Pending,"Black Knight","Black Knight: Objective #1","1","23:09:32","N/A",
Bot54,"MusicManiac",59,Completed,"White Pawn","White Pawn: Objective #1","1","23:12:13","23:12:47",
Bot54,"MusicManiac",59,Completed,"White Pawn","White Pawn: Objective #5","1","23:12:52","23:13:15",
Bot54,"MusicManiac",59,Completed,"White Pawn","White Pawn: Objective #4","1","23:13:20","23:13:30",
Bot54,"MusicManiac",59,Completed,"White Pawn","White Pawn: Objective #2","1","23:13:35","23:14:21",
Bot54,"MusicManiac",59,Completed,"White Pawn","White Pawn: Objective #3","1","23:14:26","23:14:33",
Bot54,"MusicManiac",59,Failed,"White Pawn","White Pawn: Objective #6","1","23:14:39","23:14:54",
Bot56,"Лёха Хук (Grasyl)",1,Completed,"Trenches","Trenches: Objective #1","1","23:12:26","23:12:44",
Bot56,"Лёха Хук (Grasyl)",1,Completed,"Trenches","Trenches: Objective #2","1","23:12:49","23:12:53",
Bot56,"Лёха Хук (Grasyl)",1,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","23:12:58","23:13:30",
Bot56,"Лёха Хук (Grasyl)",1,Failed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","23:13:35","23:15:00",
Bot55,"PhantomInTime",11,Pending,"Dome Buildings","Dome Buildings: Objective #2","3","23:12:31","N/A",
Bot57,"Тимурка Елдак (Platinum)",1,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","23:13:21","23:13:44",
Bot62,"Радж Ковальски (Vega)",1,Pending,"Black Knight","Black Knight: Objective #7","1","23:16:08","N/A",
