Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"snowythefox811",8,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","02:50:02","02:50:53",
Bot1,"snowythefox811",8,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","02:50:58","02:54:00",
Bot5,"jfetko",8,Archived,"Scav Base","Scav Base: Objective #2","4","02:50:25","02:54:14",
Bot5,"jfetko",8,Archived,"Scav Base","Scav Base: Objective #3","1","02:54:19","02:54:33",
Bot5,"jfetko",8,Archived,"Scav Base","Scav Base: Objective #4","2","02:54:38","02:55:23",
Bot5,"jfetko",8,Archived,"Scav Base","Scav Base: Objective #1","5","02:55:28","02:56:29",
Bot5,"jfetko",8,Completed,"Introduction","Zone huntsman_001","1","02:56:34","02:57:56",
Bot5,"jfetko",8,Completed,"Introduction","Item Encrypted message","1","02:58:01","02:58:04",
Bot5,"jfetko",8,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","02:58:10","02:59:09",
Bot5,"jfetko",8,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","02:59:14","03:07:47",
Bot5,"jfetko",8,Completed,"ZB-014 Inner Room","ZB-014 Inner Room: Objective #1","1","03:07:52","03:08:04",
Bot5,"jfetko",8,Completed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","03:08:09","03:09:08",
Bot5,"jfetko",8,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","03:09:13","03:09:47",
Bot5,"jfetko",8,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","03:09:52","03:17:33",
Bot5,"jfetko",8,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","03:17:38","03:19:12",
Bot5,"jfetko",8,Active,"Scav Base","Scav Base: Objective #2","1","03:19:17","N/A",
Bot6,"skitles55",12,Active,"Scav Base","Scav Base: Objective #2","4","02:50:25","N/A",
Bot7,"Valens",63,Pending,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","02:50:25","N/A",
Bot12,"Virtual",8,Completed,"Introduction","Item Encrypted message","1","02:51:41","03:01:48",
Bot12,"Virtual",8,Completed,"Introduction","Zone huntsman_001","1","03:01:54","03:02:06",
Bot12,"Virtual",8,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","03:02:11","03:05:26",
Bot12,"Virtual",8,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","03:05:31","N/A",
Bot13,"Lave",29,Failed,"Steady Signal","Zone q14_8_3","1","02:51:42","03:24:23",
Bot16,"Gleneth",63,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","02:51:42","03:17:00",
Bot16,"Gleneth",63,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","03:17:05","03:17:10",
Bot16,"Gleneth",63,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","03:17:15","N/A",
Bot15,"Logical Solutions",11,Completed,"Spine","Spine: Objective #1","1","02:51:42","03:18:37",
Bot15,"Logical Solutions",11,Completed,"Spine","Spine: Objective #2","1","03:18:42","03:19:26",
Bot15,"Logical Solutions",11,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","03:19:31","03:20:56",
Bot15,"Logical Solutions",11,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","03:21:01","03:23:53",
Bot15,"Logical Solutions",11,Failed,"Old Sawmill","Old Sawmill: Objective #2","1","03:23:58","03:24:30",
Bot14,"Pherik",37,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","02:51:42","03:23:09",
Bot28,"Стёпа Бардак (TonioX)",1,Completed,"Sunken Village","Sunken Village: Objective #1","1","03:03:35","03:03:42",
Bot28,"Стёпа Бардак (TonioX)",1,Completed,"Sunken Village","Sunken Village: Objective #3","1","03:03:47","03:14:32",
Bot28,"Стёпа Бардак (TonioX)",1,Failed,"USEC Camp North","USEC Camp North: Objective #1","1","03:14:38","03:26:29",
Bot31,"Серый Вертолет (reider123)",1,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","03:12:28","03:14:36",
Bot31,"Серый Вертолет (reider123)",1,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","03:14:41","03:15:13",
Bot31,"Серый Вертолет (reider123)",1,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","03:15:18","03:15:18",
Bot31,"Серый Вертолет (reider123)",1,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","03:15:23","03:15:28",
Bot31,"Серый Вертолет (reider123)",1,Failed,"USEC Camp South","USEC Camp South: Objective #1","1","03:15:33","03:15:33",
Bot31,"Серый Вертолет (reider123)",1,Failed,"USEC Camp South","USEC Camp South: Objective #2","1","03:15:39","03:15:39",
Bot31,"Серый Вертолет (reider123)",1,Failed,"USEC Camp South","USEC Camp South: Objective #3","1","03:15:44","03:15:44",
Bot31,"Серый Вертолет (reider123)",1,Failed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","03:15:49","03:15:49",
Bot31,"Серый Вертолет (reider123)",1,Failed,"Convoy","Convoy: Objective #1","1","03:15:54","03:15:54",
Bot31,"Серый Вертолет (reider123)",1,Failed,"Convoy","Convoy: Objective #2","1","03:15:59","03:15:59",
Bot31,"Серый Вертолет (reider123)",1,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","1","03:16:04","03:16:04",
Bot31,"Серый Вертолет (reider123)",1,Completed,"Scav Bunker","Scav Bunker: Objective #1","2","03:16:10","03:17:40",
Bot31,"Серый Вертолет (reider123)",1,Completed,"Scav Bunker","Scav Bunker: Objective #3","2","03:17:45","03:18:18",
Bot31,"Серый Вертолет (reider123)",1,Pending,"Scav Bunker","Scav Bunker: Objective #2","2","03:18:23","N/A",
Bot36,"Анатолий Удмурт (bluehead)",1,Pending,"USEC Camp South","USEC Camp South: Objective #3","1","03:16:17","N/A",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","03:16:18","03:17:42",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","03:17:47","03:18:02",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","03:18:07","03:18:15",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","03:18:21","03:18:57",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"Scav Bunker","Scav Bunker: Objective #1","2","03:19:02","03:20:16",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"Scav Bunker","Scav Bunker: Objective #3","2","03:20:21","03:20:56",
Bot35,"Харитон Алмазный (ANIME)",1,Completed,"Scav Bunker","Scav Bunker: Objective #2","2","03:21:01","03:21:34",
