Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"nidhoeggr",9,Completed,"Underground North","Underground North: Objective #8","1","21:07:30","21:10:23",
Bot1,"nidhoeggr",9,Completed,"Underground North","Underground North: Objective #6","1","21:10:28","21:10:40",
Bot1,"nidhoeggr",9,Completed,"Underground North","Underground North: Objective #5","1","21:10:45","21:10:59",
Bot1,"nidhoeggr",9,Failed,"Underground North","Underground North: Objective #4","1","21:11:04","21:13:17",
Bot2,"Cannuccia",46,Completed,"Boss Hunter","Spawn Point (130.6 14.1 63.1)","1","21:07:30","21:14:50",
Bot2,"Cannuccia",46,Failed,"Boss Hunter","Spawn Point (104.5 33.4 107.5)","1","21:14:55","21:18:29",
Bot3,"Queen-Goddess",6,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:07:33","21:11:31",
Bot4,"_物是人非",30,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:07:34","21:11:51",
Bot5,"craink",19,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:07:34","21:12:10",
Bot5,"craink",19,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:12:16","21:13:23",
Bot5,"craink",19,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:13:28","21:14:19",
Bot5,"craink",19,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:14:24","21:14:25",
Bot5,"craink",19,Failed,"TerraGroup Office Quest Room Camping","TerraGroup Office Quest Room Camping: Objective #1","1","21:14:30","21:14:45",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","21:07:34","21:13:37",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (-10.8 24.0 16.7)","1","21:13:42","21:14:13",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (-10.5 24.0 19.7)","1","21:14:18","21:14:18",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (-10.6 24.0 22.9)","1","21:14:23","21:14:23",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (71.9 14.1 -13.1)","1","21:14:28","21:14:55",
Bot6,"pitAlex",37,Failed,"Boss Hunter","Spawn Point (72.3 14.1 -51.7)","1","21:15:00","21:15:10",
Bot7,"Zersus",17,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:07:40","21:07:41",
Bot7,"Zersus",17,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","21:07:46","21:13:03",
Bot8,"Revingly",40,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:07:40","21:13:13",
Bot8,"Revingly",40,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","21:13:19","21:22:19",
Bot8,"Revingly",40,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","21:14:50","21:14:59",
Bot8,"Revingly",40,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","21:15:04","21:15:21",
Bot8,"Revingly",40,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","21:15:26","21:15:45",
Bot8,"Revingly",40,Failed,"Skyside Hotel","Skyside Hotel: Objective #5","1","21:15:50","21:22:19",
Bot8,"Revingly",40,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","21:16:24","21:22:19",
