Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Carl",34,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","22:16:23","22:16:58",
Bot1,"Carl",34,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","22:17:03","22:18:46",
Bot1,"Carl",34,Active,"The Blood of War - Part 3","Zone bar_fuel3_1","1","22:18:51","N/A",
Bot8,"zicoman",40,Pending,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","22:16:43","N/A",
Bot7,"MoxoPixel",52,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","22:16:43","22:17:32",
Bot7,"MoxoPixel",52,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","22:17:37","N/A",
Bot10,"crustyselenium_",10,Pending,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","22:16:44","N/A",
Bot9,"Swankyorc",52,Completed,"Scav Base","Scav Base: Objective #1","5","22:16:44","22:18:25",
Bot9,"Swankyorc",52,Completed,"Scav Base","Scav Base: Objective #4","2","22:18:30","22:19:04",
Bot9,"Swankyorc",52,Active,"Scav Base","Scav Base: Objective #3","1","22:19:10","N/A",
Bot17,"Bnuy",58,Completed,"Boss Hunter","Spawn Point (-108.5 10.1 -609.9)","1","22:17:40","22:18:24",
Bot17,"Bnuy",58,Completed,"Boss Hunter","Spawn Point (-171.7 14.8 -617.7)","1","22:18:29","22:18:43",
Bot17,"Bnuy",58,Completed,"Boss Hunter","Spawn Point (-174.5 9.4 -713.9)","1","22:18:48","22:19:25",
Bot17,"Bnuy",58,Completed,"Boss Hunter","Spawn Point (-117.6 11.9 -729.4)","1","22:19:30","22:19:42",
