Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Borkel",23,Completed,"Steady Signal","Zone q14_8_3","1","11:07:20","11:07:46",
Bot1,"Borkel",23,Completed,"Steady Signal","Zone q14_8_2","1","11:07:51","11:10:08",
Bot1,"Borkel",23,Completed,"Steady Signal","Zone q14_8_5","1","11:10:13","11:15:36",
Bot1,"Borkel",23,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","11:15:41","11:19:30",
Bot2,"红衣抚琴染绛天涯",59,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","11:07:20","11:07:57",
Bot2,"红衣抚琴染绛天涯",59,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","11:08:02","11:09:17",
Bot2,"红衣抚琴染绛天涯",59,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","11:09:22","11:12:04",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (348.8 -0.9 -155.9)","1","11:12:09","11:12:58",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (375.8 -1.1 -115.3)","1","11:13:04","11:13:27",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (307.9 -0.6 -159.8)","1","11:13:32","11:14:05",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (355.3 -0.3 -91.5)","1","11:14:10","11:14:44",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (242.9 1.5 -164.3)","1","11:14:49","11:17:21",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (187.1 3.4 -149.6)","1","11:17:26","11:17:43",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Boss Hunter","Spawn Point (135.1 8.5 -174.2)","1","11:17:48","11:18:03",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Sawmill Checkpoint Sniping","Sawmill Checkpoint Sniping: Objective #1","2","11:18:08","11:20:26",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","11:20:31","11:21:09",
Bot2,"红衣抚琴染绛天涯",59,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","11:21:15","11:22:21",
Bot3,"Nasc",27,Completed,"Steady Signal","Zone q14_8_4","1","11:07:20","11:07:59",
Bot3,"Nasc",27,Completed,"Steady Signal","Zone q14_8_5","1","11:08:04","11:12:19",
Bot3,"Nasc",27,Completed,"Steady Signal","Zone q14_8_2","1","11:12:24","11:15:22",
Bot3,"Nasc",27,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","11:15:27","11:17:44",
Bot3,"Nasc",27,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","11:17:49","11:21:44",
Bot3,"Nasc",27,Completed,"Lend-Lease - Part 1","Item Motor Controller #1","1","11:21:49","11:22:08",
Bot3,"Nasc",27,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","11:22:13","11:22:57",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (281.7 8.2 -668.6)","1","11:07:20","11:07:34",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (268.5 17.5 -756.9)","1","11:07:39","11:08:02",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (280.4 8.3 -674.5)","1","11:08:07","11:08:27",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (269.7 17.0 -758.6)","1","11:08:32","11:08:56",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (280.5 8.0 -665.4)","1","11:09:02","11:09:23",
Bot4,"LunnayaLuna",15,Completed,"Boss Hunter","Spawn Point (263.9 17.3 -762.5)","1","11:09:28","11:09:57",
