Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Anthal",21,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:31:17","22:31:23",
Bot1,"Anthal",21,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","22:31:28","22:31:48",
Bot1,"Anthal",21,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","22:31:53","22:32:02",
Bot1,"Anthal",21,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","22:32:07","22:33:32",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (37.0 23.5 147.0)","1","22:31:31","22:31:53",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (109.2 23.2 174.2)","1","22:31:58","22:32:53",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (109.4 22.7 239.4)","1","22:32:58","22:33:18",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (151.5 22.9 243.4)","1","22:33:23","22:33:43",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (127.5 23.2 196.1)","1","22:33:48","22:34:19",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (117.4 29.0 154.5)","1","22:34:24","22:35:22",
Bot2,"Maxwell the cat",42,Completed,"Boss Hunter","Spawn Point (74.7 14.0 160.9)","1","22:35:27","22:36:29",
Bot2,"Maxwell the cat",42,Failed,"Boss Hunter","Spawn Point (117.1 29.0 150.7)","1","22:36:34","22:38:52",
Bot2,"Maxwell the cat",42,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","22:38:10","22:38:52",
Bot3,"Tyrian",58,Completed,"Boss Hunter","Spawn Point (37.0 23.5 147.0)","1","22:31:32","22:31:43",
Bot3,"Tyrian",58,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:38:52","22:39:34",
Bot4,"NORVINSK_EVANGELION",19,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:32:13","22:39:18",
Bot4,"NORVINSK_EVANGELION",19,Failed,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","22:34:26","22:39:18",
Bot5,"Katto",56,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:32:14","22:40:10",
Bot6,"jennacide",31,Failed,"Underground North","Underground North: Objective #5","1","22:32:16","22:41:41",
Bot15,"LunnayaLuna",37,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","22:36:53","22:41:11",
Bot14,"Platinum",61,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:36:55","22:40:47",
Bot13,"Hubert",37,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","22:36:56","22:38:44",
Bot13,"Hubert",37,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","22:38:49","22:39:23",
Bot13,"Hubert",37,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","22:39:28","22:39:47",
Bot13,"Hubert",37,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:39:52","22:40:52",
Bot16,"Skwizzy",56,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:39:07","22:39:36",
Bot16,"Skwizzy",56,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:39:41","22:43:19",
Bot16,"Skwizzy",56,Failed,"Kyshperski","Kyshperski: Objective #3","1","22:42:51","22:42:51",
Bot16,"Skwizzy",56,Failed,"Kyshperski","Kyshperski: Objective #4","1","22:42:56","22:43:19",
Bot18,"Aethas",8,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","22:42:02","22:43:21",
Bot18,"Aethas",8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:43:27","22:44:22",
Bot23,"Jester_Stacks",12,Pending,"Capital Insight","Capital Insight: Objective #2","1","22:46:26","N/A",
Bot22,"Lavax",67,Completed,"Capital Insight","Capital Insight: Objective #2","1","22:46:26","22:46:52",
Bot22,"Lavax",67,Completed,"Capital Insight","Capital Insight: Objective #3","1","22:46:57","22:47:20",
Bot22,"Lavax",67,Completed,"Capital Insight","Capital Insight: Objective #1","1","22:47:25","22:48:04",
Bot22,"Lavax",67,Completed,"Capital Insight","Capital Insight: Objective #5","5","22:48:10","22:50:27",
Bot22,"Lavax",67,Completed,"Capital Insight","Capital Insight: Objective #4","4","22:50:32","22:51:50",
Bot22,"Lavax",67,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","22:51:55","N/A",
Bot36,"jiblet",25,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","22:52:23","22:52:52",
Bot36,"jiblet",25,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","22:52:57","22:53:15",
Bot36,"jiblet",25,Active,"Skyside Hotel","Skyside Hotel: Objective #3","1","22:53:21","N/A",
Bot38,"JustNU",53,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","22:52:23","N/A",
Bot37,"Vega",32,Pending,"Underground Utility Room","Underground Utility Room: Objective #1","1","22:52:23","N/A",
