Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot41,"Kronzky",65,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","03:50:23","03:52:12",
Bot41,"Kronzky",65,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","03:52:17","03:54:57",
Bot41,"Kronzky",65,Completed,"Engineer's Office","Engineer's Office: Objective #1","1","03:55:02","03:56:34",
Bot41,"Kronzky",65,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","03:56:39","03:57:30",
Bot40,"Tron",35,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","03:50:23","03:50:43",
Bot63,"Прохор Ихтиандр (Stealthsuit)",1,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","04:01:12","04:01:14",
Bot62,"Димон Пуэрщик (Styrr)",1,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","04:01:12","04:01:16",
