Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"cinna.toastie",63,Failed,"Boss Hunter","Spawn Point (-140.8 61.5 -206.8)","1","23:44:33","23:44:55",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (-63.8 19.2 -233.0)","1","23:45:00","23:45:43",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (-12.3 13.8 -229.3)","1","23:45:48","23:46:13",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (25.6 11.3 -226.6)","1","23:46:18","23:46:38",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (72.9 11.9 -220.5)","1","23:46:43","23:47:09",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (102.6 7.2 -152.2)","1","23:47:14","23:47:58",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (-60.3 18.9 -230.1)","1","23:48:03","23:49:05",
Bot1,"cinna.toastie",63,Completed,"Boss Hunter","Spawn Point (94.9 6.8 -203.7)","1","23:49:10","23:50:16",
Bot1,"cinna.toastie",63,Completed,"Return the Favor","Zone place_keeper5_1","2","23:50:21","23:53:03",
Bot1,"cinna.toastie",63,Completed,"Return the Favor","Zone place_keeper5_2","2","23:53:08","23:54:25",
Bot1,"cinna.toastie",63,Pending,"USEC Camp South","USEC Camp South: Objective #1","2","23:54:30","N/A",
Bot1,"cinna.toastie",63,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","23:55:22","23:55:29",
Bot1,"cinna.toastie",63,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","23:55:34","23:56:33",
Bot1,"cinna.toastie",63,Active,"USEC Camp North","USEC Camp North: Objective #4","2","23:56:38","N/A",
Bot2,"Kiki",31,Completed,"Chumming","Zone place_skier_12_3","2","23:44:34","23:48:08",
Bot2,"Kiki",31,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","23:48:13","23:48:38",
Bot2,"Kiki",31,Completed,"Lend-Lease - Part 1","Item Motor Controller #1","1","23:48:43","23:49:26",
Bot2,"Kiki",31,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:49:31","23:50:07",
Bot2,"Kiki",31,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","23:50:12","23:55:25",
Bot2,"Kiki",31,Completed,"Steady Signal","Zone q14_8_3","1","23:55:30","23:56:45",
Bot2,"Kiki",31,Completed,"Steady Signal","Zone q14_8_2","1","23:56:50","23:59:01",
Bot2,"Kiki",31,Active,"Steady Signal","Zone q14_8_5","1","23:59:06","N/A",
Bot4,"R3",35,Completed,"Steady Signal","Zone q14_8_1","1","23:44:48","23:46:02",
Bot4,"R3",35,Completed,"Steady Signal","Zone q14_8_3","1","23:46:08","23:49:23",
Bot4,"R3",35,Completed,"Steady Signal","Zone q14_8_2","1","23:49:28","23:51:06",
Bot4,"R3",35,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","23:51:11","23:51:28",
Bot4,"R3",35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:51:33","23:51:40",
Bot4,"R3",35,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:51:45","23:56:23",
Bot4,"R3",35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:56:28","00:14:41",
Bot25,"Юра Овальный (Aethas)",1,Failed,"Convoy","Convoy: Objective #1","1","00:09:27","00:14:28",
Bot24,"Пахан Вертолет (McDewgle)",1,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","00:09:27","00:10:53",
Bot24,"Пахан Вертолет (McDewgle)",1,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","00:10:58","00:11:14",
Bot24,"Пахан Вертолет (McDewgle)",1,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","00:11:19","00:11:52",
Bot24,"Пахан Вертолет (McDewgle)",1,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","1","00:11:57","00:14:25",
Bot27,"Агафон Мутант (laser50)",1,Pending,"Scav Base","Scav Base: Objective #2","1","00:11:45","N/A",
Bot26,"Ботир Внесистемный (Paulov)",1,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","00:11:45","00:12:27",
Bot26,"Ботир Внесистемный (Paulov)",1,Completed,"Scav Base","Scav Base: Objective #2","4","00:12:32","00:14:41",
Bot26,"Ботир Внесистемный (Paulov)",1,Completed,"Scav Base","Scav Base: Objective #3","1","00:14:46","00:14:54",
Bot26,"Ботир Внесистемный (Paulov)",1,Completed,"Scav Base","Scav Base: Objective #4","2","00:15:00","00:15:29",
Bot26,"Ботир Внесистемный (Paulov)",1,Active,"Scav Base","Scav Base: Objective #1","3","00:15:34","N/A",
